"placedVMs","numVMs","allocRate","cpuUtilRate","ramUtilRate","netUtilRate","diskUtilRate"
"12","21","57.14285969734192","22.63072194781042","30.91146945953369","23.920682072639465","37.24628388881683"
"12","24","50.0","22.63072194781042","30.91146945953369","23.920682072639465","37.24628388881683"
"3","3","100.0","4.931804527769302","5.099092423915863","9.214960783720016","8.3590567111969"
"5","6","83.33333134651184","12.77833670277693","14.345313608646393","19.19230967760086","12.466559559106827"
"8","9","88.88888955116272","20.04012339792493","20.035570859909058","32.19159245491028","23.134543001651764"
"11","12","91.66666865348816","25.6736701823314","32.051751017570496","43.97547245025635","27.488991618156433"
"14","15","93.33333373069763","34.94705046536467","44.82561647891998","53.50533127784729","33.39095413684845"
"17","18","94.44444179534912","44.88367075450107","54.47357892990112","58.57135057449341","40.737539529800415"
"20","21","95.23809552192688","55.80245603829722","62.977081537246704","66.55985713005066","47.03461229801178"
"20","24","83.33333134651184","55.80245603829722","62.977081537246704","66.55985713005066","47.03461229801178"
"1","3","33.33333432674408","1.218426416105473","0.5002661142498255","2.607591636478901","3.4578420221805573"
"2","6","33.33333432674408","2.2743851994411437","1.3154355809092522","3.1447358429431915","5.553353950381279"
"2","9","22.22222238779068","2.2743851994411437","1.3154355809092522","3.1447358429431915","5.553353950381279"
"2","12","16.66666716337204","2.2743851994411437","1.3154355809092522","3.1447358429431915","5.553353950381279"
"2","15","13.333334028720856","2.2743851994411437","1.3154355809092522","3.1447358429431915","5.553353950381279"
"2","18","11.11111119389534","2.2743851994411437","1.3154355809092522","3.1447358429431915","5.553353950381279"
"2","21","9.5238097012043","2.2743851994411437","1.3154355809092522","3.1447358429431915","5.553353950381279"
"2","24","8.33333358168602","2.2743851994411437","1.3154355809092522","3.1447358429431915","5.553353950381279"
"3","3","100.0","5.433728851023708","6.646224111318588","11.737299710512161","6.755480915307999"
"6","6","100.0","13.502005409515355","12.562136352062225","22.93572872877121","16.406168043613434"
"9","9","100.0","23.027494242415628","17.64151155948639","31.81588649749756","23.88545125722885"
"12","12","100.0","33.435904397042655","25.502145290374756","34.61689651012421","33.955731987953186"
"15","15","100.0","40.76186300847197","33.030593395233154","46.05669379234314","43.915870785713196"
"18","18","100.0","47.345687108422354","40.278396010398865","52.304238080978394","56.16280436515808"
"19","21","90.47619104385376","51.46821840941171","43.32162141799927","54.998594522476196","60.411202907562256"
"22","24","91.66666865348816","60.494533161026176","48.9003986120224","69.26746964454651","63.83090615272522"
"3","3","100.0","9.244660151227897","9.112626314163208","7.140151411294937","6.975124031305313"
"4","6","66.66666865348816","11.052748286025228","10.515017062425613","7.722537964582443","8.56218934059143"
"5","9","55.55555820465088","14.321791142625273","13.092827796936035","10.913825780153275","9.164179116487503"
"6","12","50.0","18.802483299769353","16.83746427297592","15.089961886405945","12.592040002346039"
"7","15","46.666666865348816","23.461477605329556","22.72990643978119","19.545455276966095","14.686566591262817"
"8","18","44.44444477558136","27.965591768611","25.743913650512695","23.88257533311844","18.706467747688293"
"8","21","38.0952388048172","27.965591768611","25.743913650512695","23.88257533311844","18.706467747688293"
"9","24","37.5","33.622545013636376","30.816268920898438","25.653409957885742","23.2587069272995"
"3","3","100.0","9.642573990966156","6.412175297737122","6.518904864788055","6.55868798494339"
"6","6","100.0","15.880436126648387","15.050897002220154","15.078510344028473","13.79324197769165"
"9","9","100.0","31.00143290443182","22.483833134174347","26.20033025741577","22.979404032230377"
"12","12","100.0","43.5987722118371","33.63657295703888","36.222437024116516","30.653870105743408"
"15","15","100.0","63.34361339220121","43.32225322723389","44.54396069049835","39.1521692276001"
"18","18","100.0","75.32291265101867","50.2722442150116","51.249927282333374","46.262747049331665"
"19","21","90.47619104385376","81.3883171010234","52.36595273017883","53.38132977485657","47.57448434829712"
"19","24","79.16666865348816","81.3883171010234","52.36595273017883","53.38132977485657","47.57448434829712"
