"placedVMs","numVMs","allocRate","cpuUtilRate","ramUtilRate","netUtilRate","diskUtilRate","migrations","migrationRate"
"26","81","32.098765432098766","69.67479210167573","81.55314184426797","46.25","52.95287100923869","0","0.0"
"28","84","33.33333333333333","73.97821075021814","75.45561305163432","59.008458646616546","58.2154134019413","0","0.0"
"29","87","33.33333333333333","75.72976981341422","72.28320032019916","64.74624060150376","61.05328811445055","0","0.0"
"29","90","32.22222222222222","75.72976981341422","72.28320032019916","64.74624060150376","61.05328811445055","0","0.0"
"29","93","31.182795698924732","75.72976981341422","72.28320032019916","64.74624060150376","61.05328811445055","0","0.0"
"29","96","30.208333333333332","75.72976981341422","72.28320032019916","64.74624060150376","61.05328811445055","0","0.0"
"30","99","30.303030303030305","76.6718286967988","79.9379614133626","65.21146616541354","59.197754648579114","0","0.0"
"3","3","100.0","10.929900499467596","6.140757753289707","12.100727975040856","17.658175842235003","0","0.0"
"6","6","100.0","21.75712538214854","14.11869772078638","22.32209181399495","31.939194741166805","0","0.0"
"8","9","88.88888888888889","27.61244258804933","20.28844539596772","27.75961967018274","41.35579293344289","0","0.0"
"10","12","83.33333333333334","33.46470322941638","24.728316836481266","35.68563363541821","49.99178307313065","0","0.0"
"11","15","73.33333333333333","35.99634958864256","22.861798552061575","36.90387758134007","53.28677074774034","0","0.0"
"13","18","72.22222222222221","44.71473207964284","29.75681349701534","45.052741048878325","55.488907148726376","0","0.0"
"13","21","61.904761904761905","41.719797867516014","20.410116530832294","54.56098648046353","60.14790468364831","0","0.0"
"15","24","62.5","47.94021858802937","33.2486712231324","60.18422225523696","53.31963845521774","0","0.0"
"15","27","55.55555555555556","47.89143831322551","30.526560826048353","59.32253751299955","52.16926869350863","0","0.0"
"15","30","50.0","47.89143831322551","30.526560826048353","59.32253751299955","52.16926869350863","0","0.0"
"16","33","48.484848484848484","45.35742155701397","36.40770733851748","65.6068934779379","56.77896466721446","0","0.0"
"16","36","44.44444444444444","48.320168273234415","37.442604281508586","60.32536027336206","49.99178307313065","0","0.0"
"17","39","43.58974358974359","49.27974240022656","41.32085007104694","62.92527113356113","54.141331142152836","0","0.0"
"18","42","42.857142857142854","55.149094851435365","41.82259206247284","63.22983212004159","58.05258833196385","0","0.0"
"18","45","40.0","55.016414999123576","40.481613466554286","67.76110533353142","51.65160230073952","0","0.0"
"18","48","37.5","52.976688393226404","35.91254216519236","67.96166988560392","56.6392769104355","0","0.0"
"17","51","33.33333333333333","52.09003516296791","31.20942492648675","66.01545089882632","52.4239934264585","0","0.0"
"17","54","31.48148148148148","51.4470337912566","35.59668182219399","50.4308423711187","61.158586688578474","0","0.0"
"17","57","29.82456140350877","51.062156175476744","35.2511392606618","53.17189124944287","59.120788824979456","0","0.0"
"15","60","25.0","45.29404462708977","18.65955793397913","52.22106670628436","58.03615447822514","0","0.0"
"16","63","25.396825396825395","49.464945259424354","19.908461076486663","55.60095082454316","53.35250616269516","0","0.0"
"19","66","28.78787878787879","55.02109341422625","34.33748076713391","62.487000445699","63.56614626129827","0","0.0"
"20","69","28.985507246376812","53.981923851620635","34.50614153658701","64.96805823800327","73.18816762530813","0","0.0"
"20","72","27.77777777777778","53.981923851620635","34.50614153658701","64.96805823800327","73.18816762530813","0","0.0"
