"placedVMs","numVMs","allocRate","cpuUtilRate","ramUtilRate","netUtilRate","diskUtilRate","migrations","migrationRate"
"12","12","100.0","33.435904397042655","25.502145290374756","34.61689651012421","33.955731987953186","3","25.0"
"15","15","100.0","40.76186300847197","33.030593395233154","46.05669379234314","43.915870785713196","5","33.33333333333333"
"18","18","100.0","47.345687108422354","40.278396010398865","52.304238080978394","56.16280436515808","10","55.55555555555556"
"21","21","100.0","57.132204776479156","49.27050471305847","60.39854288101196","69.43774223327637","12","57.14285714285714"
"24","24","100.0","66.15851952809362","54.84928488731384","74.66741800308228","72.85744547843933","11","45.83333333333333"
"3","3","100.0","9.244660151227897","9.112626314163208","7.140151411294937","6.975124031305313","0","0.0"
"6","6","100.0","18.420415369146127","18.027301132678986","10.374052822589874","14.33333307504654","0","0.0"
"9","9","100.0","29.705909207684005","26.643475890159607","18.887311220169067","20.218905806541443","1","11.11111111111111"
"12","12","100.0","39.76750397975613","36.4569753408432","28.41382622718811","31.26368224620819","2","16.666666666666664"
"15","15","100.0","49.71221556865852","46.60935699939728","35.75757443904877","37.41293549537659","3","20.0"
"18","18","100.0","59.83602327228677","57.808518409729004","44.87689435482025","47.114428877830505","8","44.44444444444444"
"21","21","100.0","64.2903444055716","66.90478920936584","56.09848499298096","52.83084511756897","6","28.57142857142857"
"24","24","100.0","74.82571021704203","80.05445003509521","66.06060862541199","59.293532371520996","11","45.83333333333333"
"3","3","100.0","9.642573990966156","6.412175297737122","6.518904864788055","6.55868798494339","0","0.0"
"6","6","100.0","15.880436126648387","15.050897002220154","15.078510344028473","13.79324197769165","0","0.0"
"9","9","100.0","31.00143290443182","22.483833134174347","26.20033025741577","22.979404032230377","0","0.0"
"12","12","100.0","43.5987722118371","33.63657295703888","36.222437024116516","30.653870105743408","1","8.333333333333332"
"15","15","100.0","63.34361339220121","43.32225322723389","44.54396069049835","39.1521692276001","0","0.0"
"18","18","100.0","75.32291265101867","50.2722442150116","51.249927282333374","46.262747049331665","8","44.44444444444444"
"21","21","100.0","90.81682826240335","57.533907890319824","59.3957245349884","50.35792589187622","6","28.57142857142857"
"22","24","91.66666865348816","90.74154622753359","59.8571240901947","64.68454003334045","52.001601457595825","15","62.5"
"3","3","100.0","11.436233342917914","3.3763397485017776","7.146993279457092","5.010558664798737","0","0.0"
"6","6","100.0","19.53884380212778","11.425989866256714","13.512283563613892","12.616625428199768","0","0.0"
"9","9","100.0","24.921275588627267","23.55712503194809","19.20754462480545","20.614321529865265","0","0.0"
"12","12","100.0","30.520219829121924","31.144610047340393","26.089835166931152","28.87694239616394","0","0.0"
"15","15","100.0","36.94122390620797","40.79023003578186","33.26164186000824","35.29660105705261","3","20.0"
"18","18","100.0","44.313702901805726","51.625221967697144","41.703200340270996","43.202149868011475","11","61.111111111111114"
"21","21","100.0","47.754862007568875","59.419846534729004","49.74770545959473","48.093682527542114","14","66.66666666666666"
"24","24","100.0","55.71774505600477","69.01358962059021","57.22971558570862","51.72585844993591","13","54.166666666666664"
"3","3","100.0","6.167413055732687","4.685058072209358","11.662831157445908","9.434999525547028","0","0.0"
"6","6","100.0","9.799257309349716","14.707118272781372","27.571922540664673","19.557347893714905","0","0.0"
"9","9","100.0","15.880834606441827","18.863487243652344","34.418871998786926","28.254592418670654","0","0.0"
"12","12","100.0","24.8851763839492","22.357502579689026","41.80091917514801","39.67373967170715","0","0.0"
"15","15","100.0","29.000740902405308","32.268235087394714","52.65823006629944","44.30188238620758","3","20.0"
"18","18","100.0","37.307707782889175","37.27850615978241","64.45915102958679","49.92439150810242","5","27.77777777777778"
"21","21","100.0","45.90160669746512","44.843289256095886","67.42807626724243","60.472893714904785","8","38.095238095238095"
"24","24","100.0","51.136531284329735","52.4699330329895","76.41541957855225","69.756680727005","13","54.166666666666664"
"3","3","100.0","3.9838245894142905","5.759979039430618","7.055499404668808","10.903920978307724","0","0.0"
"6","6","100.0","11.694426575106764","13.694597780704498","17.90807545185089","19.817356765270233","1","16.666666666666664"
"9","9","100.0","15.468172341365493","23.22549968957901","24.822287261486053","25.591951608657837","2","22.22222222222222"
"12","12","100.0","19.839989769265944","28.0483216047287","33.0831378698349","32.06649422645569","1","8.333333333333332"
"15","15","100.0","26.27116870635468","39.73126709461212","41.343989968299866","40.044841170310974","5","33.33333333333333"
"18","18","100.0","32.060136564798526","47.048747539520264","46.474456787109375","52.0807147026062","7","38.88888888888889"
"20","21","95.23809552192688","32.274090666005286","52.64268517494202","54.01121377944946","59.320831298828125","7","33.33333333333333"
